ID,num_exams_taken,Sex,Centre,Level,Cohort
1001,0,F,Bumpeh perri,L1,2016
1003,2,F,Bumpeh perri,L1,2016
1006,0,M,Bumpeh perri,L1,2016
1007,2,M,Bumpeh perri,L1,2016
1008,2,F,Bumpeh perri,L2,2016
1009,2,F,Bumpeh perri,L1A,2016
1010,2,F,Bumpeh perri,L1,2016
1011,2,F,Bumpeh perri,L1A,2016
1014,2,M,Bumpeh perri,L1,2016
1016,2,F,Bumpeh perri,L1,2016
1017,2,F,Bumpeh perri,L2,2016
1018,2,F,Bumpeh perri,L1A,2016
1019,2,F,Bumpeh perri,L1,2016
1020,2,F ,Bumpeh perri,L1,2016
1021,2,F,Bumpeh perri,L1A,2016
1022,2,F,Bumpeh perri,L1A,2016
1023,2,M,Bumpeh perri,L1,2016
1024,2,F,Bumpeh perri,L1,2016
1025,2,F,Bumpeh perri,L1A,2016
1026,2,F,Bumpeh perri,L1A,2016
1027,2,F,Bumpeh perri,L2,2016
1028,2,M,Bumpeh perri,L1A,2016
1029,2,F,Bumpeh perri,L1A,2016
1032,2,M,Bumpeh perri,L1A,2016
1033,2,M,Bumpeh perri,L1A,2016
1034,2,M,Bumpeh perri,L1A,2016
1035,2,M,Bumpeh perri,L1A,2016
1036,2,F,Bumpeh perri,L1A,2016
1037,2,M,Bumpeh perri,L2,2016
1040,2,M,Bumpeh perri,L1,2016
1041,2,M,Bumpeh perri,L1A,2016
1044,2,F,Bumpeh perri,L2,2016
1045,2,F,Bumpeh perri,L1,2016
1049,2,M,Bumpeh perri,L1,2016
1051,2,F,Bumpeh perri,L2,2016
1052,2,F,Bumpeh perri,L1A,2016
1053,1,F,Bumpeh perri,L2,2016
1055,2,F,Bumpeh perri,L1A,2016
1056,2,M,Bumpeh perri,L1,2016
1057,2,M,Bumpeh perri,L1,2016
1058,2,M,Bumpeh perri,L1A,2016
1060,2,M,Bumpeh perri,L1,2016
1061,2,M,Bumpeh perri,L1A,2016
1062,2,F,Bumpeh perri,L1A,2016
1064,2,M,Bumpeh perri,L1,2016
1069,2,F,Bumpeh perri,L1A,2016
1072,2,M,Bumpeh perri,L1,2016
1073,2,M,Bumpeh perri,L1,2016
1075,2,F,Bumpeh perri,L1A,2016
1076,2,F,Bumpeh perri,L1A,2016
1077,2,F,Bumpeh perri,L2,2016
1078,2,M,Bumpeh perri,L1A,2016
1079,2,M,Bumpeh perri,L2,2016
1081,2,F,Bumpeh perri,L1A,2016
1082,2,M,Bumpeh perri,L2,2016
1085,2,M,Bumpeh perri,L1A,2016
1086,2,M,Bumpeh perri,L1,2016
1088,2,F,Bumpeh perri,L1A,2016
1090,0,M,Bumpeh perri,L1A,2016
1091,2,M,Bumpeh perri,L1A,2016
1094,2,F,Bumpeh perri,L1A,2016
1095,2,M,Bumpeh perri,L1A,2016
1097,0,F,Bumpeh perri,L2,2016
1100,2,M,Bumpeh perri,L1,2016
1103,1,M,Bumpeh perri,L1,2016
1107,2,F,Bumpeh perri,L1,2016
1108,2,M,Bumpeh perri,L2,2016
1109,2,M,Bumpeh perri,L1A,2016
1111,2,M,Bumpeh perri,L1A,2016
1114,0,M,Bumpeh perri,L1A,2016
1116,2,M,Bumpeh perri,L2,2016
1118,2,M,Bumpeh perri,L2,2016
1120,2,M,Bumpeh perri,L1A,2016
1121,2,F,Bumpeh perri,L2,2016
1122,2,F,Bumpeh perri,L1,2016
1123,0,M,Bumpeh perri,L1,2016
1124,2,F,Bumpeh perri,L1,2016
1125,2,F,Bumpeh perri,L1,2016
1126,2,M,Bumpeh perri,L1,2016
1127,2,M,Bumpeh perri,L1,2016
1128,2,M,Bumpeh perri,L1,2016
1129,2,F,Bumpeh perri,L1,2016
1130,2,F,Bumpeh perri,L1,2016
1131,2,F,Bumpeh perri,L1,2016
1132,2,F,Bumpeh perri,L1A,2016
1133,2,M,Bumpeh perri,L1A,2016
1134,2,F,Bumpeh perri,L1,2016
1135,2,M,Bumpeh perri,L1,2016
1136,2,M,Bumpeh perri,L1,2016
1137,2,M,Bumpeh perri,L1,2016
1138,2,M,Bumpeh perri,L1,2016
1139,2,F,Bumpeh perri,L1A,2016
1140,2,M,Bumpeh perri,L1A,2016
1141,2,M,Bumpeh perri,L1A,2016
1142,2,M,Bumpeh perri,L1A,2016
1143,2,M,Bumpeh perri,L1A,2016
1144,2,M,Bumpeh perri,L1A,2016
1145,2,M,Bumpeh perri,L1,2016
1146,2,M,Bumpeh perri,L1,2016
1147,2,M,Bumpeh perri,L1,2016
1148,2,M,Bumpeh perri,L1A,2016
1149,2,F,Bumpeh perri,L1A,2016
1150,2,M,Bumpeh perri,L1,2016
1151,2,M,Bumpeh perri,L1,2016
1153,2,M,Bumpeh perri,L1,2016
1154,2,F,Bumpeh perri,L1A,2016
1155,2,M,Bumpeh perri,L1,2016
1156,2,F,Bumpeh perri,L1,2016
1157,2,M,Bumpeh perri,L1,2016
1158,2,M,Bumpeh perri,L1,2016
1159,2,M,Bumpeh perri,L1,2016
1160,0,M,Bumpeh perri,L1,2016
1161,0,F,Bumpeh perri,L1A,2016
1162,2,M,Bumpeh perri,L1A,2016
1163,2,M,Bumpeh perri,L1,2016
1164,2,M,Bumpeh perri,L1,2016
1165,2,F,Bumpeh perri,L1,2016
1166,2,F,Bumpeh perri,L1,2016
1167,0,F,Bumpeh perri,L2,2016
1168,2,F,Bumpeh perri,L1,2016
2001,2,F,Zimmi,L1A,2016
2002,2,F,Zimmi,L1A,2016
2003,2,F,Zimmi,L1A,2016
2004,2,F,Zimmi,L1A,2016
2005,2,F ,Zimmi,L1,2016
2006,2,M,Zimmi,L1A,2016
2007,0,M,Zimmi,L1A,2016
2008,2,F,Zimmi,L1A,2016
2009,2,F,Zimmi,L1,2016
2010,2,F,Zimmi,L1A,2016
2011,2,F,Zimmi,L2,2016
2012,2,M,Zimmi,L1,2016
2013,2,F,Zimmi,L1,2016
2015,2,F,Zimmi,L1,2016
2016,2,M,Zimmi,L1,2016
2017,2,F,Zimmi,L1,2016
2018,2,M,Zimmi,L1A,2016
2021,2,M,Zimmi,L1,2016
2022,0,F,Zimmi,L1A,2016
2023,2,F,Zimmi,L1,2016
2024,2,F,Zimmi,L1A,2016
2025,2,F,Zimmi,L1,2016
2026,2,M,Zimmi,L1A,2016
2027,2,F,Zimmi,L1,2016
2028,2,F,Zimmi,L1A,2016
2031,2,F,Zimmi,L1A,2016
2033,2,F,Zimmi,L1A,2016
2034,2,M,Zimmi,L1,2016
2035,2,F,Zimmi,L1,2016
2036,2,F,Zimmi,L1A,2016
2037,2,M,Zimmi,L1,2016
2038,2,F,Zimmi,L1,2016
2039,2,F,Zimmi,L1A,2016
2040,2,M,Zimmi,L1A,2016
2041,2,F,Zimmi,L2,2016
2042,2,F,Zimmi,L1,2016
2043,2,F,Zimmi,L2,2016
2044,2,F,Zimmi,L1A,2016
2045,2,F,Zimmi,L1A,2016
2046,2,M,Zimmi,L1,2016
2047,2,M,Zimmi,L2,2016
2049,2,M,Zimmi,L1,2016
2050,2,M,Zimmi,L1,2016
2051,2,F,Zimmi,L2,2016
2052,2,F,Zimmi,L1A,2016
2053,2,M,Zimmi,L1A,2016
2054,2,M,Zimmi,L1A,2016
2056,2,F,Zimmi,L1A,2016
2057,2,M,Zimmi,L1,2016
2058,2,F,Zimmi,L1A,2016
2059,2,M,Zimmi,L1A,2016
2060,2,M,Zimmi,L1A,2016
2061,1,M,Zimmi,L2,2016
2062,2,F,Zimmi,L1,2016
2063,2,M,Zimmi,L1,2016
2064,2,F,Zimmi,L1A,2016
2065,2,F,Zimmi,L1A,2016
2066,2,M,Zimmi,L1A,2016
2067,2,F,Zimmi,L1,2016
2069,2,F,Zimmi,L1,2016
2070,2,M,Zimmi,L1A,2016
2071,2,M,Zimmi,L2,2016
2072,2,M,Zimmi,L1A,2016
2074,2,F,Zimmi,L1A,2016
2075,0,F,Zimmi,L1A,2016
2076,2,M,Zimmi,L2,2016
2078,2,F,Zimmi,L1,2016
2079,0,F,Zimmi,L1A,2016
