Sex,Centre,Cohort,Student Level,Paper Name,Paper Subject,Paper Level,Percentage
M,Bumpeh perri,2016,L1,Level 1 Mathematics,Mathematics,L1,86
M,Bumpeh perri,2016,L1,Level 1 Language,Language,L1,66
F,Bumpeh perri,2016,L1,Level 1 Language,Language,L1,71.4
F,Bumpeh perri,2016,L1,Level 1 Mathematics,Mathematics,L1,28.56
M,Bumpeh perri,2016,L1,Level 1 Mathematics,Mathematics,L1,100
M,Bumpeh perri,2016,L1,Level 1 Language,Language,L1,80.25
F,Bumpeh perri,2016,L1,Level 1 Language,Language,L1,30.45
F,Bumpeh perri,2016,L1,Level 1 Mathematics,Mathematics,L1,26.68
M,Bumpeh perri,2016,L1,Level 1 Mathematics,Mathematics,L1,58.83
M,Bumpeh perri,2016,L1,Level 1 Language,Language,L1,57.4
M,Bumpeh perri,2016,L1,Level 1 Mathematics,Mathematics,L1,100
M,Bumpeh perri,2016,L1,Level 1 Language,Language,L1,68.25
M,Bumpeh perri,2016,L1,Level 1 Language,Language,L1,48
M,Bumpeh perri,2016,L1,Level 1 Mathematics,Mathematics,L1,7.35
F,Bumpeh perri,2016,L1,Level 1 Mathematics,Mathematics,L1,29.92
F,Bumpeh perri,2016,L1,Level 1 Language,Language,L1,44.8
M,Bumpeh perri,2016,L1,Level 1 Mathematics,Mathematics,L1,82
M,Bumpeh perri,2016,L1,Level 1 Language,Language,L1,85.5
F,Bumpeh perri,2016,L1,Level 1 Mathematics,Mathematics,L1,100
F,Bumpeh perri,2016,L1,Level 1 Language,Language,L1,57.6
M,Bumpeh perri,2016,L1,Level 1 Mathematics,Mathematics,L1,96
M,Bumpeh perri,2016,L1,Level 1 Language,Language,L1,57.4
F,Bumpeh perri,2016,L1,Level 1 Mathematics,Mathematics,L1,65.6
F,Bumpeh perri,2016,L1,Level 1 Language,Language,L1,62.25
F,Bumpeh perri,2016,L1,Level 1 Mathematics,Mathematics,L1,100
F,Bumpeh perri,2016,L1,Level 1 Language,Language,L1,88.5
F,Bumpeh perri,2016,L1,Level 1 Mathematics,Mathematics,L1,81
